Longitud,Latitud,Valor
-69.48310,-17.59500,0.80000
-69.69940,-17.84280,0.60000
-69.63310,-18.00360,0.20000
-69.55890,-18.19500,0.60000
-69.26830,-18.20420,0.70000
-69.29560,-18.21640,1.00000
-69.18330,-18.23530,0.50000
-69.54810,-18.37220,0.40000
-69.51670,-18.46690,0.10000
-70.32080,-18.47750,0.00000
-69.14940,-18.49310,0.40000
-69.56560,-18.51330,0.20000
-70.18060,-18.51560,0.00000
-69.04670,-18.58330,0.70000
-69.61970,-18.94310,0.00000
-69.24470,-19.11810,0.20000
-68.63780,-19.27640,0.40000
-69.41720,-19.31360,0.20000
-69.20500,-19.53690,0.10000
-69.18330,-19.68310,0.10000
-69.14330,-19.78310,0.40000
-69.18310,-19.87190,0.50000
-69.20330,-20.01220,0.20000
-69.21470,-20.07560,0.20000
-69.74970,-20.13080,0.00000
-70.13610,-20.21530,0.00000
-68.88330,-20.93330,0.00000
-68.24940,-21.22330,0.10000
-68.66220,-21.65580,0.20000
-68.02690,-22.01030,0.10000
-68.62080,-22.02780,0.40000
-70.18970,-22.07970,0.00000
-68.31670,-22.11470,0.00000
-68.02280,-22.22970,0.80000
-68.24280,-22.27920,0.00000
-68.20280,-22.28560,0.20000
-68.34470,-22.28940,0.10000
-68.01330,-22.37110,0.40000
-68.88860,-22.44190,0.00000
-68.90440,-22.44940,0.00000
-68.19830,-22.82250,0.00000
-69.32190,-22.88920,0.00000
-69.83970,-23.33360,0.00000
-70.39330,-23.55440,0.10000
-70.38670,-23.59750,0.00000
-70.47970,-25.40330,0.00000
-69.66560,-26.67810,0.40000
-70.81560,-27.06920,0.10000
-69.56420,-27.11420,0.00000
-70.33080,-27.37720,0.10000
-70.12690,-27.80440,0.00000
-70.11190,-27.83170,0.00000
-70.00330,-27.97830,1.40000
-69.97470,-28.00030,0.00000
-69.94080,-28.08580,0.00000
-69.88080,-28.15720,0.10000
-70.73970,-28.58610,0.10000
-70.66250,-28.66720,0.00000
-70.55000,-28.69970,0.00000
-70.50670,-28.73060,0.20000
-70.28220,-28.87310,0.00000
-70.46140,-28.93110,0.00000
-70.10110,-28.94560,0.10000
-70.41390,-29.10940,0.10000
-70.53280,-29.94580,0.10000
-70.09280,-29.97110,0.10000
-70.55250,-29.97810,0.10000
